stable_key	source_file	source_line	source_function	resolved_function	reuse_disposition	retail_status	retail_classification	retail_va_or_empty	retail_name_or_empty	generation32_grade	generation32_contract_state	evidence	delta_summary	falsifier
"[""BattleEngine.h"",260,""GetLowEnergyStartTime"",""GetLowEnergyStartTime()""]"	BattleEngine.h	260	GetLowEnergyStartTime	CBattleEngine::GetLowEnergyStartTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetLowEnergyStartTime`.
"[""BattleEngine.h"",261,""GetLowArmourStartTime"",""GetLowArmourStartTime()""]"	BattleEngine.h	261	GetLowArmourStartTime	CBattleEngine::GetLowArmourStartTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetLowArmourStartTime`.
"[""BattleEngine.h"",262,""GetDangerStartTime"",""GetDangerStartTime()""]"	BattleEngine.h	262	GetDangerStartTime	CBattleEngine::GetDangerStartTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetDangerStartTime`.
"[""BattleEngine.h"",265,""IsStalling"",""IsStalling()""]"	BattleEngine.h	265	IsStalling	CBattleEngine::IsStalling	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::IsStalling`.
"[""BattleEngine.h"",266,""GetStallTime"",""GetStallTime()""]"	BattleEngine.h	266	GetStallTime	CBattleEngine::GetStallTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetStallTime`.
"[""BattleEngine.h"",267,""GetAugmentedTime"",""GetAugmentedTime()""]"	BattleEngine.h	267	GetAugmentedTime	CBattleEngine::GetAugmentedTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetAugmentedTime`.
"[""BattleEngine.h"",274,""GetStealth"",""GetStealth()""]"	BattleEngine.h	274	GetStealth	CBattleEngine::GetStealth	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00405f50	CBattleEngine__VFunc_91_00405f50	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv	Returns the Battle Engine stealth field used by target-lock logic	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""BattleEngine.h"",276,""GetCanBeImpostered"",""GetCanBeImpostered()""]"	BattleEngine.h	276	GetCanBeImpostered	CBattleEngine::GetCanBeImpostered	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetCanBeImpostered`.
"[""BattleEngine.h"",279,""GetAugActiveTime"",""GetAugActiveTime()""]"	BattleEngine.h	279	GetAugActiveTime	CBattleEngine::GetAugActiveTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetAugActiveTime`.
"[""BattleEngine.h"",280,""GetAugValue"",""GetAugValue()""]"	BattleEngine.h	280	GetAugValue	CBattleEngine::GetAugValue	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetAugValue`.
"[""BattleEngine.h"",281,""IsAugActive"",""IsAugActive()""]"	BattleEngine.h	281	IsAugActive	CBattleEngine::IsAugActive	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::IsAugActive`.
"[""BattleEngine.h"",310,""GetAmmoDepletedTime"",""GetAmmoDepletedTime()""]"	BattleEngine.h	310	GetAmmoDepletedTime	CBattleEngine::GetAmmoDepletedTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetAmmoDepletedTime`.
"[""BattleEngine.h"",314,""PlayIncommingMissileSound"",""PlayIncommingMissileSound()""]"	BattleEngine.h	314	PlayIncommingMissileSound	CBattleEngine::PlayIncommingMissileSound	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::PlayIncommingMissileSound`.
"[""BattleEngine.h"",324,""GetDamageFlashList"",""* GetDamageFlashList()""]"	BattleEngine.h	324	GetDamageFlashList	CBattleEngine::GetDamageFlashList	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetDamageFlashList`.
"[""BattleEngineConfigurations.h"",26,""UBattleEngineConfigurations::CountConfigurations"",""CountConfigurations()""]"	BattleEngineConfigurations.h	26	UBattleEngineConfigurations::CountConfigurations	UBattleEngineConfigurations::CountConfigurations	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `UBattleEngineConfigurations::CountConfigurations`.
"[""BattleEngineDataManager.h"",270,""UBattleEngineDataManager::CountConfigurations"",""CountConfigurations()""]"	BattleEngineDataManager.h	270	UBattleEngineDataManager::CountConfigurations	UBattleEngineDataManager::CountConfigurations	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `UBattleEngineDataManager::CountConfigurations`.
"[""BattleEngineJetPart.h"",37,""CBattleEngineJetPart::GetFlightModel"",""GetFlightModel()""]"	BattleEngineJetPart.h	37	CBattleEngineJetPart::GetFlightModel	CBattleEngineJetPart::GetFlightModel	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::GetFlightModel`.
"[""BattleEngineJetPart.h"",38,""CBattleEngineJetPart::SetFlightModel"",""SetFlightModel(EJetFlightModel nm)""]"	BattleEngineJetPart.h	38	CBattleEngineJetPart::SetFlightModel	CBattleEngineJetPart::SetFlightModel	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::SetFlightModel`.
"[""BattleEngineJetPart.h"",77,""CBattleEngineJetPart::DoingLoop"",""DoingLoop()""]"	BattleEngineJetPart.h	77	CBattleEngineJetPart::DoingLoop	CBattleEngineJetPart::DoingLoop	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::DoingLoop`.
"[""BattleEngineJetPart.h"",78,""CBattleEngineJetPart::DoingRoll"",""DoingRoll()""]"	BattleEngineJetPart.h	78	CBattleEngineJetPart::DoingRoll	CBattleEngineJetPart::DoingRoll	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::DoingRoll`.
"[""BattleEngineJetPart.h"",80,""CBattleEngineJetPart::GetThrusterValue"",""GetThrusterValue()""]"	BattleEngineJetPart.h	80	CBattleEngineJetPart::GetThrusterValue	CBattleEngineJetPart::GetThrusterValue	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::GetThrusterValue`.
"[""BattleEngineWalkerPart.h"",37,""CBattleEngineWalkerPart::GetCurrentWalkCycle"",""GetCurrentWalkCycle()""]"	BattleEngineWalkerPart.h	37	CBattleEngineWalkerPart::GetCurrentWalkCycle	CBattleEngineWalkerPart::GetCurrentWalkCycle	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetCurrentWalkCycle`.
"[""BattleEngineWalkerPart.h"",38,""CBattleEngineWalkerPart::GetOldWalkCycle"",""GetOldWalkCycle()""]"	BattleEngineWalkerPart.h	38	CBattleEngineWalkerPart::GetOldWalkCycle	CBattleEngineWalkerPart::GetOldWalkCycle	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetOldWalkCycle`.
"[""BattleEngineWalkerPart.h"",48,""CBattleEngineWalkerPart::GetPrimaryWeapon"",""* GetPrimaryWeapon()""]"	BattleEngineWalkerPart.h	48	CBattleEngineWalkerPart::GetPrimaryWeapon	CBattleEngineWalkerPart::GetPrimaryWeapon	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetPrimaryWeapon`.
"[""BattleEngineWalkerPart.h"",49,""CBattleEngineWalkerPart::GetAugWeapon"",""* GetAugWeapon()""]"	BattleEngineWalkerPart.h	49	CBattleEngineWalkerPart::GetAugWeapon	CBattleEngineWalkerPart::GetAugWeapon	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetAugWeapon`.
"[""BattleEngineWalkerPart.h"",74,""CBattleEngineWalkerPart::GetDashCount"",""GetDashCount()""]"	BattleEngineWalkerPart.h	74	CBattleEngineWalkerPart::GetDashCount	CBattleEngineWalkerPart::GetDashCount	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetDashCount`.
"[""Camera.cpp"",344,""CPanCamera::CPanCamera"",""CPanCamera::CPanCamera(CThing* for_thing, CBSpline* curve, float length)""]"	Camera.cpp	344	CPanCamera::CPanCamera	CPanCamera::CPanCamera	REUSED	RETAIL_UNRESOLVED	SOURCE_ANALOG	0x004198d0	CPanCamera__ctor	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W001/adversarial/B15.md	Adversarial plate confirms CPanCamera constructor fields, vtables, Update call, and three known callers; retained as bounded analog.	A cold body/ABI read that refutes this named analog, or stronger same-function evidence that promotes it to SOURCE_EXACT.
"[""Camera.cpp"",717,""CControllableCamera::CControllableCamera"",""CControllableCamera::CControllableCamera(FVector pos, FMatrix orientation)""]"	Camera.cpp	717	CControllableCamera::CControllableCamera	CControllableCamera::CControllableCamera	REUSED	RETAIL_UNRESOLVED	SOURCE_ANALOG	0x0041a740	CControllableCamera__ctor	C1_CANDIDATE_PARTIAL	OPEN_DARK	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W002/adversarial/B01.md	Adversarial plate confirms the expanded by-value constructor footprint and current/old/temp pose shape; missing-neighbor risk remains.	A cold body/ABI read that refutes this named analog, or stronger same-function evidence that promotes it to SOURCE_EXACT.
"[""Camera.h"",24,""CCamera::GetOldPos"",""GetOldPos()""]"	Camera.h	24	CCamera::GetOldPos	CCamera::GetOldPos	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CCamera::GetOldPos`.
"[""Camera.h"",25,""CCamera::GetOldOrientation"",""GetOldOrientation()""]"	Camera.h	25	CCamera::GetOldOrientation	CCamera::GetOldOrientation	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CCamera::GetOldOrientation`.
"[""Camera.h"",27,""CCamera::GetOldZoom"",""GetOldZoom()""]"	Camera.h	27	CCamera::GetOldZoom	CCamera::GetOldZoom	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CCamera::GetOldZoom`.
"[""Camera.h"",30,""CCamera::~dtor"",""~CCamera()""]"	Camera.h	30	CCamera::~dtor	CCamera::~dtor	REUSED	RETAIL_UNRESOLVED	NO_MATCH_FOUND					pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;full-pass destructor plates	Destructor body versus scalar/vector deleting wrapper is unresolved; wrapper spelling alone cannot prove the source destructor.	Static ABI/xref/body evidence resolving whether retail emits or wraps `CCamera::~dtor`.
"[""Camera.h"",43,""CThingCamera::CThingCamera"",""CThingCamera(CThing* for_thing)""]"	Camera.h	43	CThingCamera::CThingCamera	CThingCamera::CThingCamera	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CThingCamera::CThingCamera`.
"[""Camera.h"",51,""CThingCamera::GetThing"",""* GetThing()""]"	Camera.h	51	CThingCamera::GetThing	CThingCamera::GetThing	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CThingCamera::GetThing`.
"[""Camera.h"",68,""CThing3rdPersonCamera::GetIsThingCamera"",""* GetIsThingCamera()""]"	Camera.h	68	CThing3rdPersonCamera::GetIsThingCamera	CThing3rdPersonCamera::GetIsThingCamera	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CThing3rdPersonCamera::GetIsThingCamera`.
"[""Camera.h"",72,""CThing3rdPersonCamera::GetThing"",""* GetThing()""]"	Camera.h	72	CThing3rdPersonCamera::GetThing	CThing3rdPersonCamera::GetThing	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CThing3rdPersonCamera::GetThing`.
"[""Camera.h"",126,""CPanCamera::GetZoom"",""GetZoom()""]"	Camera.h	126	CPanCamera::GetZoom	CPanCamera::GetZoom	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CPanCamera::GetZoom`.
"[""Camera.h"",127,""CPanCamera::GetShowHUD"",""GetShowHUD()""]"	Camera.h	127	CPanCamera::GetShowHUD	CPanCamera::GetShowHUD	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CPanCamera::GetShowHUD`.
"[""Camera.h"",176,""CControllableCamera::GetPos"",""GetPos()""]"	Camera.h	176	CControllableCamera::GetPos	CControllableCamera::GetPos	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CControllableCamera::GetPos`.
"[""Camera.h"",177,""CControllableCamera::GetOrientation"",""GetOrientation()""]"	Camera.h	177	CControllableCamera::GetOrientation	CControllableCamera::GetOrientation	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CControllableCamera::GetOrientation`.
"[""Camera.h"",178,""CControllableCamera::GetZoom"",""GetZoom()""]"	Camera.h	178	CControllableCamera::GetZoom	CControllableCamera::GetZoom	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CControllableCamera::GetZoom`.
"[""Camera.h"",179,""CControllableCamera::GetShowHUD"",""GetShowHUD()""]"	Camera.h	179	CControllableCamera::GetShowHUD	CControllableCamera::GetShowHUD	REUSED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CControllableCamera::GetShowHUD`.
