absolutePath	memberPath	bytes	sha256	platform	region	container	claim	confidence	evidence
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/language/american.dat	274043	0F7129AEF391A298C61748E069C4B363456ED1ABD6C4F8548FFFC4A9206E8DB0	Xbox	Europe	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/language/american.dat	274043	0F7129AEF391A298C61748E069C4B363456ED1ABD6C4F8548FFFC4A9206E8DB0	Xbox	Korea	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/language/american.dat	274043	0F7129AEF391A298C61748E069C4B363456ED1ABD6C4F8548FFFC4A9206E8DB0	Xbox	USA	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/language/english.dat	274219	B6900E348FAEEC4C8EB294F96F9FD1BE55368A8CEED21F0082203604C3067D79	Xbox	Europe	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/language/english.dat	274219	B6900E348FAEEC4C8EB294F96F9FD1BE55368A8CEED21F0082203604C3067D79	Xbox	Korea	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/language/english.dat	274219	B6900E348FAEEC4C8EB294F96F9FD1BE55368A8CEED21F0082203604C3067D79	Xbox	USA	ZIP member DAT	Sampled language data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - ISO.7z		1304654245	C58DD037CA6AA9BAEC9C58B65D1EA30ED305DA86BCA8E3E78FE7E2E38B31A959	Xbox	USA	7z	Exact duplicate outer archive despite ISO label	EXACT_SHA256	Locally hashed; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - XISO.7z		1304654245	C58DD037CA6AA9BAEC9C58B65D1EA30ED305DA86BCA8E3E78FE7E2E38B31A959	Xbox	USA	7z	Exact duplicate outer archive; XISO label is more accurate	EXACT_SHA256	Locally hashed; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - XISO.7z	Battle Engine Aquila (USA).xiso.iso	3034054656	598095EFA15E450F51B42EF81DEA85F5DDE0FE678B00BD9BFE88FD3770F1FA18	Xbox	USA	7z member XISO	USA trimmed/XISO logical object	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - ISO.7z	Battle Engine Aquila (USA).xiso.iso	3034054656	598095EFA15E450F51B42EF81DEA85F5DDE0FE678B00BD9BFE88FD3770F1FA18	Xbox	USA	7z member XISO	Same member inherited from exact outer-container identity	DERIVED_EXACT	Outer archives are byte-identical; member list is identical; companion archive member was streamed and hashed
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - Xbox - XISO.7z		1374210817	NOT_MEASURED	Xbox	USA	7z	Different outer archive containing same USA XISO	EXACT_MEMBER_ONLY	Outer size differs from Vimm; outer SHA256 not measured
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - Xbox - XISO.7z	Battle Engine Aquila (USA).iso	3034054656	598095EFA15E450F51B42EF81DEA85F5DDE0FE678B00BD9BFE88FD3770F1FA18	Xbox	USA	7z member XISO	Exact same logical XISO as Vimm member	EXACT_SHA256	Complete isolated rerun after an interrupted paired stream
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (E) (En,Fr,De,Es,It) - romulation.org - Xbox.7z		5265851760	NOT_MEASURED	Xbox	Europe	7z containing full-disc image	Claimed Europe 7825162240-byte full-disc ISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) - romsfun.com - Xbox - XISO.7z		1374240806	NOT_MEASURED	Xbox	Europe	7z containing XISO	Claimed Europe 3034054656-byte XISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (South Korea) - romulation.org - Xbox.7z		5262658988	NOT_MEASURED	Xbox	Korea	7z containing full-disc image	Claimed Korea 7825162240-byte full-disc ISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (South Korea) - romsfun.com - Xbox - XISO.7z		1374208534	NOT_MEASURED	Xbox	Korea	7z containing XISO	Claimed Korea 3034054656-byte XISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romulation.org - Xbox.7z		5262658979	NOT_MEASURED	Xbox	USA	7z containing full-disc image	Claimed USA 7825162240-byte full-disc ISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\Installers\Battle Engine Aquila (RU) iso [pass protected].zip		728424252	NOT_MEASURED	PC	Russia	Encrypted ZIP containing nested archive	Claimed Russian ISO distribution candidate	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 0f4efbc38dd7d94587faddc86c8a5db744c09b37
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\Installers\Battle Engine Aquila GOG Setup [pass protected].zip		768864601	NOT_MEASURED	PC	GOG	Encrypted ZIP containing nested archive	Claimed GOG installer distribution candidate	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 224726165009fd9a03c800f4630a87947f4d291f
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\Installers\Battle Engine Aquila Retail (EUR) [pass protected].zip		687884149	NOT_MEASURED	PC	Europe	Encrypted ZIP containing nested archive	Claimed Europe retail distribution candidate	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 ee5ceed6ef0f9cf145f13f70adede522dc9b7357
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\RIPs\Battle Engine Aquila (EN, FR, DE, ES, IT) [pass protected].zip		547349471	NOT_MEASURED	PC	Europe	Encrypted ZIP containing nested archive	Claimed multilingual RIP candidate	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 15735556df5bc28fab2bbda8c258f656ed128870
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\RIPs\Battle Engine Aquila (RU) [pass protected].zip		575856481	NOT_MEASURED	PC	Russia	Encrypted ZIP containing nested archive	Claimed Russian RIP candidate	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 d98dc2d7dfd2ebf8163ca61f82bb38f7bab45137
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Windows\RU locale and EN backup.zip		145580	NOT_MEASURED	PC	Russia and English	ZIP	Locale pair containing 302807-byte RU and 279933-byte EN language files	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 8f5c6e42086508921447d066dc40eac00497b223
