claim_id	area	extractor_claim	extractor_source	classification	current_evidence	comparison	priority_follow_up
GEO-014	declarations	vBSize/iBSize/primitiveCount/active, FVF, and primitiveType are read but not used to reject or branch.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L420-L442	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L159-L217;rebuild/tools/cmsh_static_preview_tests.py:L1439-L1535	Current parser validates declaration arithmetic and exact rigid/skinned stride-FVF-topology profiles with can-fail tests.	NONE
GEO-015	topology	Every imported index list is treated as a triangle strip.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModel.cs:L45-L52;references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L120-L161	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L97-L103;rebuild/tools/cmsh_static_preview.py:L631-L635	All supported populated groups use topology value 4 and primitiveCount=indexCount-2; broader retail topology support remains open.	P3: close every remaining topology/FVF combination against loader branches.
GEO-016	topology	Triangle-strip conversion seeds indices 0/1/2, then alternates prior-index order by odd/even strip position.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L120-L150	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L294-L340;reverse-engineering/game-assets/aya-asset-format.md:L295-L300	The retained harness reproduces the algorithm for FBX compatibility; it is not retail rasterization proof.	NONE
GEO-017	topology	Degenerate strip triples are omitted.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L152-L160	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L306-L337;rebuild/tools/cmsh_static_preview.py:L631-L635	Current exporters use the same survival rule; retail malformed/degenerate behavior is not inferred.	NONE
GEO-018	FBX	FBX polygon termination encodes the final index as -(index+1).	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L41-L59;references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L152-L160	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L184-L220;tools/BeaAssetExportHarness/Program.cs:L294-L340	This is standard FBX output encoding and carries no AYA format semantics.	NONE
GEO-019	FBX	Export negates Z for positions and normals.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L31-L39;references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L50-L69	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L170-L182;tools/BeaAssetExportHarness/Program.cs:L193-L212	The retained harness reproduces this coordinate conversion; it is not proof that stored AYA is intrinsically left-handed.	NONE
GEO-020	FBX	Export negates texture V while preserving U.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L50-L64	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L193-L212;reverse-engineering/game-assets/aya-asset-format.md:L182-L187	The retained harness reproduces this FBX convention; stored/rendered UV semantics still require the runtime path.	NONE
GEO-021	FBX	The exporter flattens every part/reference into one static FBX Geometry rather than separate objects.	references/AYAResourceExtractor/README.md:L24-L35;references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L22-L47	EXPORT_CONVENTION_ONLY	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L125;tools/BeaAssetExportHarness/Program.cs:L161-L220	Current tooling preserves part, hierarchy, reference, animation, and bone structure even when emitting a static OBJ/FBX view.	NONE
GEO-022	FBX	No explicit scale normalization is applied before FBX output.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L27-L39	EXPORT_CONVENTION_ONLY	reverse-engineering/game-assets/aya-asset-format.md:L295-L300	This is observable exporter behavior, not proof of retail world-unit semantics.	NONE
FBX-001	template	The FBX library edits a binary BoxWithTextures template rather than constructing a document.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L8-L24	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L161-L169;tools/BeaAssetExportHarness/Program.cs:L483-L493	The retained harness still depends on the template but reads it through a checked source-built parser.	NONE
FBX-002	template	The template supplies exactly 24 material slots, a hard exporter ceiling.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L78-L86	EXPORT_CONVENTION_ONLY	reverse-engineering/game-assets/aya-asset-format.md:L270-L277;tools/BeaAssetExportHarness/Program.cs:L222-L243	The cap belongs to the generic template, not CMSH; the template audit finds 24 Material, 24 Texture, and 24 Video objects.	NONE
FBX-003	template	Texture and video objects are found by fixed Objects-list positions 2+24+n and 2+48+n.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L87-L105	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L222-L261	The retained harness repeats this brittle template contract but validates object-list bounds.	P4: no format work; replace only if the export harness is productized.
FBX-004	template	Template metadata is Blender 3.5 generic Cube geometry with Material1..24 and default1.png..default24.png placeholders.	references/AYAResourceExtractor/BoxWithTextures.fbx:sha256=37526ffde1d48016fa8a2a05c5dfeb3cd0a30a8ab402ccce60a7f44addf8eed2	EXPORT_CONVENTION_ONLY	references/AYAResourceExtractor/BoxWithTextures.fbx:sha256=37526ffde1d48016fa8a2a05c5dfeb3cd0a30a8ab402ccce60a7f44addf8eed2;tools/BeaAssetExportHarness/Program.cs:L161-L169	Deterministic source-built parsing finds one eight-vertex cube, six quads, 24 generic material/texture/video slots, and no game identifier or payload.	NONE
TEX-001	lookup	A mesh texture name is reduced to text after the first backslash, then looked up in resources/dxtntextures.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L15-L28	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L456-L468	The retained harness reproduces the lookup exactly; it is a tool convention and loses deeper path components.	P4: harden only if continuing to use the legacy exporter.
TEX-002	lookup	Lookup tries meshtex%{name}(0)A1R5G5B5.aya first, then A8R8G8B8 only.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L23-L28	CURRENT_TOOL_STRONGER	reverse-engineering/game-assets/aya-asset-format.md:L202-L237;tools/aya_archive_inventory.py:L210-L241	The measured shelf has five source-format suffixes and current resolution indexes actual files; two-suffix search is incomplete legacy behavior.	P3: retire two-suffix-only lookup if the harness becomes user-facing.
TEX-003	lookup	FBX texture output changes .tga to .png, removes meshtex\\, strips spaces, and writes under MeshTextures.	references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L87-L108;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L30-L38	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L225-L261;tools/BeaAssetExportHarness/Program.cs:L471-L480	The retained harness reproduces this lossy naming convention for compatibility; it is not serialized-name semantics.	P4: collision-check before product use.
TEX-004	decode	After AYA inflation, the payload is treated as DDS and decoded to BGRA bytes for a 32-bpp ARGB PNG.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L41-L76	CURRENT_TOOL_STRONGER	reverse-engineering/game-assets/aya-asset-format.md:L215-L237;tools/BeaAssetExportHarness/Program.cs:L514-L573	Current owners distinguish source-format suffix from stored DDS FourCC and handle uncompressed/DXT paths with explicit dimensions and result checks.	NONE
TEX-005	decode	The texture extractor allocates a fixed 4 MiB pixel buffer and ignores the native decoder return code.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L5-L8;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaTextureExtractor.cs:L50-L76	CURRENT_TOOL_STRONGER	tools/BeaAssetExportHarness/Program.cs:L514-L550	The current harness allocates width*height*4 with checked arithmetic and requires success plus positive dimensions.	NONE
TEX-006	decode	Upstream DDSTextureUncompress copied height*height*4 bytes; fork pin 53b10b0 changes this to width*height*4 with null/size guards.	references/AYAResourceExtractor/Code/DDSTextureUncompress/DDSTextureUncompress.cpp:L26-L50	CURRENT_TOOL_STRONGER	reverse-engineering/game-assets/aya-asset-format.md:L256-L266;tools/BeaAssetExportHarness/Program.cs:L535-L563	The fork fixes rectangular output but does not make the third-party DDS reader generally safe for hostile data.	NONE
TEX-007	decode	The README says the game's textures were stored as compressed DXT2.	references/AYAResourceExtractor/README.md:L16-L22	CONTRADICTED	reverse-engineering/game-assets/aya-asset-format.md:L228-L237	The complete measured 800-file dxtntextures shelf contains 212 DXT1 and 588 DXT2 DDS files, so DXT2 is common but not universal.	NONE
LIM-001	limitations	The extractor does not blend multiple TEXR layers on one primitive.	references/AYAResourceExtractor/README.md:L24-L35;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L501-L506	EXPORT_CONVENTION_ONLY	rebuild/tools/cmsh_static_preview_tests.py:L772-L775;rebuild/tools/cmsh_static_preview_tests.py:L884-L887	Current tooling retains six slots and exposes bounded material groups, but full blend semantics remain open.	P2: recover TEXR layer semantics.
LIM-002	limitations	Animations and bones are not exported.	references/AYAResourceExtractor/README.md:L24-L35	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L125;rebuild/tools/cmsh_static_preview.py:L720-L843	Current tools decode pose lanes, BONE indices, and palette slots, though blend/interpolation/runtime scheduling remain open.	P1: close three-slot skinning and named-clip ownership.
LIM-003	limitations	Some exported primitive normals appear to point in the wrong direction.	references/AYAResourceExtractor/README.md:L24-L30	UNKNOWN	reverse-engineering/asset-formats/cmsh-mesh.md:L161-L176;rebuild/tools/cmsh_static_preview.py:L1227-L1234	This is an admitted output symptom, not a localized format claim; current tools preserve/round-trip normals but general rendered winding parity is not proved.	P3: compare one controlled rendered primitive against stored normals/winding.
LIM-004	limitations	The extractor is not expected to work on every model and catches only the extract-all outer exception.	references/AYAResourceExtractor/README.md:L24-L35;references/AYAResourceExtractor/Code/AyaResourceExtractor/MainForm.cs:L83-L121	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L31-L38;rebuild/tools/cmsh_static_preview_tests.py:L2337-L2412	Current parser handles all 367 measured streams, emits 366 due one explicit empty placeholder, and round-trips all 367.	NONE
UI-001	target	Extract-all enumerates every direct file in data/resources/meshes without an extension filter.	references/AYAResourceExtractor/Code/AyaResourceExtractor/MainForm.cs:L83-L108	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L816-L831	The retained harness narrows to *.aya and deterministic name order.	NONE
UI-002	target	The expected root layout is <game>/data/resources with meshes and dxtntextures children.	references/AYAResourceExtractor/Code/AyaResourceExtractor/MainForm.cs:L25-L33;references/AYAResourceExtractor/Code/AyaResourceExtractor/MainForm.cs:L89-L99	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/aya-container.md:L17-L28;tools/BeaAssetExportHarness/Program.cs:L639-L647	The PC corpus and current tools use this layout; it is not asserted for consoles.	NONE
UI-003	FBX	Both ASCII and binary FBX outputs are enabled by default and independently selectable.	references/AYAResourceExtractor/Code/AyaResourceExtractor/MainForm.Designer.cs:L138-L169;references/AYAResourceExtractor/Code/AyaResourceExtractor/FbxModelExporter.cs:L110-L117	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/Program.cs:L392-L431	The retained harness supports both outputs but uses binary-only in corpus export lanes.	NONE
